benchmark,compiler,bitness,optimization,runtime_seconds,spec_rate,run_id,suite
500.perlbench_r,GCC,32-bit,-O0,695.451392,2.289161,003,gcc
502.gcc_r,GCC,32-bit,-O0,676.578666,2.092883,003,gcc
505.mcf_r,GCC,32-bit,-O0,654.771426,2.468037,003,gcc
520.omnetpp_r,GCC,32-bit,-O0,1787.23977,0.734093,003,gcc
523.xalancbmk_r,GCC,32-bit,-O0,1821.105673,0.579868,003,gcc
525.x264_r,GCC,32-bit,-O0,1207.422914,1.450196,003,gcc
531.deepsjeng_r,GCC,32-bit,-O0,960.132101,1.193586,003,gcc
541.leela_r,GCC,32-bit,-O0,2547.610526,0.650021,003,gcc
557.xz_r,GCC,32-bit,-O0,905.69802,1.19245,003,gcc
500.perlbench_r,GCC,64-bit,-O0,626.903686,2.539465,004,gcc
502.gcc_r,GCC,64-bit,-O0,584.34929,2.423208,004,gcc
505.mcf_r,GCC,64-bit,-O0,613.686172,2.633268,004,gcc
520.omnetpp_r,GCC,64-bit,-O0,1404.677526,0.934022,004,gcc
523.xalancbmk_r,GCC,64-bit,-O0,1374.744834,0.768143,004,gcc
525.x264_r,GCC,64-bit,-O0,1187.456169,1.474581,004,gcc
531.deepsjeng_r,GCC,64-bit,-O0,623.589758,1.837747,004,gcc
541.leela_r,GCC,64-bit,-O0,2011.196373,0.823391,004,gcc
557.xz_r,GCC,64-bit,-O0,845.880523,1.276776,004,gcc
500.perlbench_r,GCC,32-bit,-O1,437.020036,3.642854,007,gcc
502.gcc_r,GCC,32-bit,-O1,306.439872,4.620809,007,gcc
505.mcf_r,GCC,32-bit,-O1,444.858477,3.632616,007,gcc
520.omnetpp_r,GCC,32-bit,-O1,522.846586,2.50934,007,gcc
523.xalancbmk_r,GCC,32-bit,-O1,335.013863,3.152108,007,gcc
525.x264_r,GCC,32-bit,-O1,445.091022,3.934027,007,gcc
531.deepsjeng_r,GCC,32-bit,-O1,509.526149,2.249149,007,gcc
541.leela_r,GCC,32-bit,-O1,626.346595,2.643904,007,gcc
557.xz_r,GCC,32-bit,-O1,500.022826,2.159901,007,gcc
500.perlbench_r,GCC,64-bit,-O1,337.780046,4.713126,008,gcc
502.gcc_r,GCC,64-bit,-O1,287.065753,4.932668,008,gcc
505.mcf_r,GCC,64-bit,-O1,425.292184,3.799741,008,gcc
520.omnetpp_r,GCC,64-bit,-O1,456.400277,2.87467,008,gcc
