benchmark,compiler,bits,optimization,num_executables,static_basic_blocks,static_instructions,avg_instructions_per_bb
500.perlbench_r,GCC,32,O0,1,119461,781842,6.544747
500.perlbench_r,GCC,32,O1,1,98758,447474,4.531015
500.perlbench_r,GCC,32,O2,1,101384,486533,4.798913
500.perlbench_r,GCC,32,O3,1,113444,548906,4.838564
500.perlbench_r,GCC,64,O0,1,113719,709667,6.240531
500.perlbench_r,GCC,64,O1,1,95849,372264,3.883859
500.perlbench_r,GCC,64,O2,1,97114,399960,4.118459
500.perlbench_r,GCC,64,O3,1,108723,451931,4.156719
500.perlbench_r,Clang,32,O0,1,130124,759277,5.835027
500.perlbench_r,Clang,32,O1,1,99315,520008,5.235946
500.perlbench_r,Clang,32,O2,1,98304,521989,5.309947
500.perlbench_r,Clang,32,O3,1,102410,542405,5.296407
500.perlbench_r,Clang,64,O0,1,127503,637189,4.997443
500.perlbench_r,Clang,64,O1,1,97342,409708,4.208954
500.perlbench_r,Clang,64,O2,1,96156,413482,4.300116
500.perlbench_r,Clang,64,O3,1,100294,430935,4.296718
500.perlbench_r,ICC,32,O0,1,112873,743055,6.583107
500.perlbench_r,ICC,32,O1,1,92035,396229,4.305199
500.perlbench_r,ICC,32,O2,1,131699,566191,4.299129
500.perlbench_r,ICC,32,O3,1,133982,579999,4.328932
500.perlbench_r,ICC,64,O0,1,113243,742716,6.558604
500.perlbench_r,ICC,64,O1,1,90624,367799,4.058517
500.perlbench_r,ICC,64,O2,1,148832,618025,4.152501
500.perlbench_r,ICC,64,O3,1,158299,664010,4.194657
502.gcc_r,GCC,32,O0,1,566719,2920938,5.15412
502.gcc_r,GCC,32,O1,1,500521,2092512,4.180668
502.gcc_r,GCC,32,O2,1,499588,2198698,4.401022
502.gcc_r,GCC,32,O3,1,549089,2442775,4.448778
502.gcc_r,GCC,64,O0,1,537821,2561928,4.763533
502.gcc_r,GCC,64,O1,1,485974,1668455,3.433219
502.gcc_r,GCC,64,O2,1,477661,1742925,3.648874
502.gcc_r,GCC,64,O3,1,526535,1945099,3.694149
502.gcc_r,Clang,32,O0,1,629115,3349513,5.324166
502.gcc_r,Clang,32,O1,1,467219,2276978,4.87347
502.gcc_r,Clang,32,O2,1,459377,2274042,4.950274
502.gcc_r,Clang,32,O3,1,475948,2354747,4.947488
502.gcc_r,Clang,64,O0,1,603100,2467255,4.090955
502.gcc_r,Clang,64,O1,1,469263,1777447,3.787742
502.gcc_r,Clang,64,O2,1,456905,1782772,3.901844
502.gcc_r,Clang,64,O3,1,475237,1857252,3.908054
502.gcc_r,ICC,32,O0,1,570414,3402411,5.96481
502.gcc_r,ICC,32,O1,1,427590,1726362,4.037424
502.gcc_r,ICC,32,O2,1,647242,2614101,4.038831
502.gcc_r,ICC,32,O3,1,658299,2673837,4.061736
502.gcc_r,ICC,64,O0,1,566703,3235075,5.70859
502.gcc_r,ICC,64,O1,1,425624,1574979,3.7004
502.gcc_r,ICC,64,O2,1,692417,2600012,3.75498
502.gcc_r,ICC,64,O3,1,727791,2753438,3.783281
505.mcf_r,GCC,32,O0,1,889,9215,10.365579
505.mcf_r,GCC,32,O1,1,908,6483,7.139868
505.mcf_r,GCC,32,O2,1,911,6540,7.178924
505.mcf_r,GCC,32,O3,1,978,7334,7.498978
505.mcf_r,GCC,64,O0,1,750,6800,9.066667
505.mcf_r,GCC,64,O1,1,792,4135,5.22096
505.mcf_r,GCC,64,O2,1,807,4299,5.327138
505.mcf_r,GCC,64,O3,1,877,4762,5.429875
505.mcf_r,Clang,32,O0,1,1149,9219,8.023499
505.mcf_r,Clang,32,O1,1,942,7996,8.488323
505.mcf_r,Clang,32,O2,1,1194,10860,9.095477
505.mcf_r,Clang,32,O3,1,1240,11295,9.108871
505.mcf_r,Clang,64,O0,1,917,5882,6.414395
505.mcf_r,Clang,64,O1,1,858,4333,5.050117
505.mcf_r,Clang,64,O2,1,1248,7449,5.96875
505.mcf_r,Clang,64,O3,1,1319,7813,5.923427
505.mcf_r,ICC,32,O0,1,960,9696,10.1
505.mcf_r,ICC,32,O1,1,1393,7946,5.704235
505.mcf_r,ICC,32,O2,1,1878,11913,6.34345
505.mcf_r,ICC,32,O3,1,2024,13159,6.501482
505.mcf_r,ICC,64,O0,1,833,7037,8.447779
505.mcf_r,ICC,64,O1,1,1133,5334,4.707855
505.mcf_r,ICC,64,O2,1,1504,7748,5.151596
505.mcf_r,ICC,64,O3,1,1635,8460,5.174312
